,code,text,tokens
837,"Complementing, expressing appreciation",this is amazing! it s interactive and as an informative storyline backed up with very good data ,"['this', 'is', 'amazing', 'it', 's', 'interactive', 'and', 'as', 'an', 'informative', 'storyline', 'backed', 'up', 'with', 'very', 'good', 'data']"
839,Asking questions,"i mean   is the age matter?you showed us that the number of users increased, do we really need to know it by ages?","['i', 'mean', 'is', 'the', 'age', 'matter', 'you', 'showed', 'us', 'that', 'the', 'number', 'of', 'users', 'increased', 'do', 'we', 'really', 'need', 'to', 'know', 'it', 'by', 'ages']"
840,Asking questions,did you have others questions arising while looking at the data ?,"['did', 'you', 'have', 'others', 'questions', 'arising', 'while', 'looking', 'at', 'the', 'data']"
843,Vocatives (addressing individual),hi felix,"['hi', 'felix']"
844,Personal advice,"if you need to do so, it might be better to limit each type of encoding (bars or lines) to a single axis ","['if', 'you', 'need', 'to', 'do', 'so', 'it', 'might', 'be', 'better', 'to', 'limit', 'each', 'type', 'of', 'encoding', 'bars', 'or', 'lines', 'to', 'a', 'single', 'axis']"
846,"Complementing, expressing appreciation",i find your visualizations very impressive ,"['i', 'find', 'your', 'visualizations', 'very', 'impressive']"
848,Personal advice,i d also like to filter by genre if i can figure out how to do it,"['i', 'd', 'also', 'like', 'to', 'filter', 'by', 'genre', 'if', 'i', 'can', 'figure', 'out', 'how', 'to', 'do', 'it']"
849,"Complementing, expressing appreciation",thank you russ for your graphs and analysis ,"['thank', 'you', 'russ', 'for', 'your', 'graphs', 'and', 'analysis']"
852,"Complementing, expressing appreciation",thanks for the comment!,"['thanks', 'for', 'the', 'comment']"
856,"Complementing, expressing appreciation",i think you did a very good job by examining the data and raising questions for which you were able to find answers online or elsewhere ,"['i', 'think', 'you', 'did', 'a', 'very', 'good', 'job', 'by', 'examining', 'the', 'data', 'and', 'raising', 'questions', 'for', 'which', 'you', 'were', 'able', 'to', 'find', 'answers', 'online', 'or', 'elsewhere']"
857,Personal advice,i would be interested in the time course,"['i', 'would', 'be', 'interested', 'in', 'the', 'time', 'course']"
859,Personal advice,you might also just show average growth rates of more and less urbanized areas ,"['you', 'might', 'also', 'just', 'show', 'average', 'growth', 'rates', 'of', 'more', 'and', 'less', 'urbanized', 'areas']"
860,Vocatives (addressing individual),"hi julian, very interesting subject, thank you!","['hi', 'julian', 'very', 'interesting', 'subject', 'thank', 'you']"
861,Personal advice,why not make the dots smaller and filled?,"['why', 'not', 'make', 'the', 'dots', 'smaller', 'and', 'filled']"
862,Asking questions,are there other coaches that we can compare them to?,"['are', 'there', 'other', 'coaches', 'that', 'we', 'can', 'compare', 'them', 'to']"
864,"Complementing, expressing appreciation","i really appreciate the work you did, here i really like the interactions you provide","['i', 'really', 'appreciate', 'the', 'work', 'you', 'did', 'here', 'i', 'really', 'like', 'the', 'interactions', 'you', 'provide']"
865,Asking questions,are the hospitalization data the numbers of persons per hundred or thousand?,"['are', 'the', 'hospitalization', 'data', 'the', 'numbers', 'of', 'persons', 'per', 'hundred', 'or', 'thousand']"
866,"Complementing, expressing appreciation","hi luis,you did a nice try with your version of the graph ","['hi', 'luis', 'you', 'did', 'a', 'nice', 'try', 'with', 'your', 'version', 'of', 'the', 'graph']"
871,"Complementing, expressing appreciation","congratulations, your first graph is the greatest i have seen around here ","['congratulations', 'your', 'first', 'graph', 'is', 'the', 'greatest', 'i', 'have', 'seen', 'around', 'here']"
873,Personal advice,"excellent tasksince the lack of parking can be a problem, maybe you can include that information, that is, look for the number of parking lots in the center and compare them with other sectors to find an answer ","['excellent', 'tasksince', 'the', 'lack', 'of', 'parking', 'can', 'be', 'a', 'problem', 'maybe', 'you', 'can', 'include', 'that', 'information', 'that', 'is', 'look', 'for', 'the', 'number', 'of', 'parking', 'lots', 'in', 'the', 'center', 'and', 'compare', 'them', 'with', 'other', 'sectors', 'to', 'find', 'an', 'answer']"
874,Asking questions,did you sign up for the full monthly charges to tell the story?,"['did', 'you', 'sign', 'up', 'for', 'the', 'full', 'monthly', 'charges', 'to', 'tell', 'the', 'story']"
877,"Complementing, expressing appreciation","kathleen, thank you very much for your post","['kathleen', 'thank', 'you', 'very', 'much', 'for', 'your', 'post']"
879,Negative Activating,it took a while to try and get an understanding for the other flourish visuals,"['it', 'took', 'a', 'while', 'to', 'try', 'and', 'get', 'an', 'understanding', 'for', 'the', 'other', 'flourish', 'visuals']"
880,Personal advice,"perhaps, in order to know whats states have the highest rates of gun violence","['perhaps', 'in', 'order', 'to', 'know', 'whats', 'states', 'have', 'the', 'highest', 'rates', 'of', 'gun', 'violence']"
881,Asking questions,do you have some related data sources where we can further analyse?,"['do', 'you', 'have', 'some', 'related', 'data', 'sources', 'where', 'we', 'can', 'further', 'analyse']"
882,Vocatives (addressing individual),hi! thanks for all the feedback manoj!,"['hi', 'thanks', 'for', 'all', 'the', 'feedback', 'manoj']"
886,Asking questions,are the methodologies sound?,"['are', 'the', 'methodologies', 'sound']"
887,Vocatives (addressing individual),"hello tim, i agree with you, the  both sexes  looks like superfluous ","['hello', 'tim', 'i', 'agree', 'with', 'you', 'the', 'both', 'sexes', 'looks', 'like', 'superfluous']"
888,Asking questions,how would you read it?,"['how', 'would', 'you', 'read', 'it']"
889,Personal advice,"however, i would had also liked to understand what happens with the fish line ","['however', 'i', 'would', 'had', 'also', 'liked', 'to', 'understand', 'what', 'happens', 'with', 'the', 'fish', 'line']"
894,Personal advice,it would be interesting to further follow this data and couple it with interviews of girls from countries where education is expanding ,"['it', 'would', 'be', 'interesting', 'to', 'further', 'follow', 'this', 'data', 'and', 'couple', 'it', 'with', 'interviews', 'of', 'girls', 'from', 'countries', 'where', 'education', 'is', 'expanding']"
895,Personal advice,that would be cool ,"['that', 'would', 'be', 'cool']"
896,"Complementing, expressing appreciation","you also used the kaggle site, which i recently discovered as a great data science tool ","['you', 'also', 'used', 'the', 'kaggle', 'site', 'which', 'i', 'recently', 'discovered', 'as', 'a', 'great', 'data', 'science', 'tool']"
897,Negative Activating,i think the header space is too easy to miss ,"['i', 'think', 'the', 'header', 'space', 'is', 'too', 'easy', 'to', 'miss']"
898,"Complementing, expressing appreciation","hi andrew,i think it is a very good solution that allows easy comparison between different categories and different countries, as well as the evolution of values over time ","['hi', 'andrew', 'i', 'think', 'it', 'is', 'a', 'very', 'good', 'solution', 'that', 'allows', 'easy', 'comparison', 'between', 'different', 'categories', 'and', 'different', 'countries', 'as', 'well', 'as', 'the', 'evolution', 'of', 'values', 'over', 'time']"
899,Vocatives (addressing individual),hello davidi d also like to make such a graph in local elections ,"['hello', 'davidi', 'd', 'also', 'like', 'to', 'make', 'such', 'a', 'graph', 'in', 'local', 'elections']"
902,Vocatives (addressing individual),"hi donna,thank you for the feedback and suggestions, especially including the introduction spread of treatment on the chart ","['hi', 'donna', 'thank', 'you', 'for', 'the', 'feedback', 'and', 'suggestions', 'especially', 'including', 'the', 'introduction', 'spread', 'of', 'treatment', 'on', 'the', 'chart']"
903,Negative Activating,"the map in the current format does not bring any info, it just confuses me ","['the', 'map', 'in', 'the', 'current', 'format', 'does', 'not', 'bring', 'any', 'info', 'it', 'just', 'confuses', 'me']"
904,Negative Activating,i had some trouble knowing what point you were trying to make ,"['i', 'had', 'some', 'trouble', 'knowing', 'what', 'point', 'you', 'were', 'trying', 'to', 'make']"
905,Negative Activating,i wonder where ireland and chad would wound up ,"['i', 'wonder', 'where', 'ireland', 'and', 'chad', 'would', 'wound', 'up']"
907,Personal advice,but here are my thoughts   i would spell out once what esl means  ,"['but', 'here', 'are', 'my', 'thoughts', 'i', 'would', 'spell', 'out', 'once', 'what', 'esl', 'means']"
908,"Complementing, expressing appreciation",thank you for the feedback,"['thank', 'you', 'for', 'the', 'feedback']"
909,Negative Activating,i can t really see it on the pic (although is nice draft!) and wonder how would you show it  as full and non full boxes?,"['i', 'can', 't', 'really', 'see', 'it', 'on', 'the', 'pic', 'although', 'is', 'nice', 'draft', 'and', 'wonder', 'how', 'would', 'you', 'show', 'it', 'as', 'full', 'and', 'non', 'full', 'boxes']"
910,"Complementing, expressing appreciation",many thanks for your ideas!,"['many', 'thanks', 'for', 'your', 'ideas']"
912,"Complementing, expressing appreciation",your graphics are nice and clean ,"['your', 'graphics', 'are', 'nice', 'and', 'clean']"
913,Vocatives (addressing individual),"hi ruth, thank you for this post ","['hi', 'ruth', 'thank', 'you', 'for', 'this', 'post']"
914,"Complementing, expressing appreciation",this is cool!,"['this', 'is', 'cool']"
915,Vocatives (addressing individual),"hi natallia,thank you for your feedback and observations ","['hi', 'natallia', 'thank', 'you', 'for', 'your', 'feedback', 'and', 'observations']"
916,Personal advice,may be you could split the in formation in a couple of graphics ,"['may', 'be', 'you', 'could', 'split', 'the', 'in', 'formation', 'in', 'a', 'couple', 'of', 'graphics']"
917,"Complementing, expressing appreciation","hi ruth,what a really nice work, congrats ","['hi', 'ruth', 'what', 'a', 'really', 'nice', 'work', 'congrats']"
918,"Complementing, expressing appreciation",i am amazed you did this with so many countries! great job!,"['i', 'am', 'amazed', 'you', 'did', 'this', 'with', 'so', 'many', 'countries', 'great', 'job']"
920,Negative Activating,i just discovered that my dataset is missing some prominent jazz musicians!,"['i', 'just', 'discovered', 'that', 'my', 'dataset', 'is', 'missing', 'some', 'prominent', 'jazz', 'musicians']"
922,Asking questions,"when you say that ""these murders are associated with alcohol and celebrations "", are there data that prove it ?","['when', 'you', 'say', 'that', 'these', 'murders', 'are', 'associated', 'with', 'alcohol', 'and', 'celebrations', 'are', 'there', 'data', 'that', 'prove', 'it']"
923,"Complementing, expressing appreciation","hi, andrea   i m glad you like the work i ve done so far ","['hi', 'andrea', 'i', 'm', 'glad', 'you', 'like', 'the', 'work', 'i', 've', 'done', 'so', 'far']"
924,Personal advice,if you were to continue i would suggest making a research about arm sales and regions where they are more easy to get and explore what the links could be ,"['if', 'you', 'were', 'to', 'continue', 'i', 'would', 'suggest', 'making', 'a', 'research', 'about', 'arm', 'sales', 'and', 'regions', 'where', 'they', 'are', 'more', 'easy', 'to', 'get', 'and', 'explore', 'what', 'the', 'links', 'could', 'be']"
925,"Complementing, expressing appreciation","this is amazing, and such an inspiration for the rest of us!","['this', 'is', 'amazing', 'and', 'such', 'an', 'inspiration', 'for', 'the', 'rest', 'of', 'us']"
926,Personal advice,i think that particular component could be implemented more effectively,"['i', 'think', 'that', 'particular', 'component', 'could', 'be', 'implemented', 'more', 'effectively']"
928,"Complementing, expressing appreciation","i really like it overall   it s a good, clean design ","['i', 'really', 'like', 'it', 'overall', 'it', 's', 'a', 'good', 'clean', 'design']"
929,Personal advice,perhaps you could cut some text or make a few more slides ,"['perhaps', 'you', 'could', 'cut', 'some', 'text', 'or', 'make', 'a', 'few', 'more', 'slides']"
930,"Complementing, expressing appreciation",nice work julian ,"['nice', 'work', 'julian']"
931,Personal advice,you might consider changing them ,"['you', 'might', 'consider', 'changing', 'them']"
932,Vocatives (addressing individual),"hi, perry   i m hoping to dig into some of the areas you ve mentioned ","['hi', 'perry', 'i', 'm', 'hoping', 'to', 'dig', 'into', 'some', 'of', 'the', 'areas', 'you', 've', 'mentioned']"
937,"Complementing, expressing appreciation","mark, thanks for the suggestion!","['mark', 'thanks', 'for', 'the', 'suggestion']"
940,Personal advice,one small suggestion  could you change the font colour of the label for each category to match the colour of the line? this might anchor the association between that value and the category it is linked to ,"['one', 'small', 'suggestion', 'could', 'you', 'change', 'the', 'font', 'colour', 'of', 'the', 'label', 'for', 'each', 'category', 'to', 'match', 'the', 'colour', 'of', 'the', 'line', 'this', 'might', 'anchor', 'the', 'association', 'between', 'that', 'value', 'and', 'the', 'category', 'it', 'is', 'linked', 'to']"
941,Negative Activating,"can t figure out how to get rid of the country codes on the side, which is problematic b c there are more countries than there is room for on the image ","['can', 't', 'figure', 'out', 'how', 'to', 'get', 'rid', 'of', 'the', 'country', 'codes', 'on', 'the', 'side', 'which', 'is', 'problematic', 'b', 'c', 'there', 'are', 'more', 'countries', 'than', 'there', 'is', 'room', 'for', 'on', 'the', 'image']"
942,Personal advice,another idea would be to use the data to help people avoid bites in the future ,"['another', 'idea', 'would', 'be', 'to', 'use', 'the', 'data', 'to', 'help', 'people', 'avoid', 'bites', 'in', 'the', 'future']"
943,"Complementing, expressing appreciation","hi julian,great storytelling with your visualizations ","['hi', 'julian', 'great', 'storytelling', 'with', 'your', 'visualizations']"
944,"Complementing, expressing appreciation",nice analyse!,"['nice', 'analyse']"
946,"Complementing, expressing appreciation",well done !,"['well', 'done']"
950,"Complementing, expressing appreciation","cool, thank you ","['cool', 'thank', 'you']"
951,Personal advice,"though it would be relevant for other stats 2  i would make dots smallers, and letter of provinces larger ","['though', 'it', 'would', 'be', 'relevant', 'for', 'other', 'stats', '2', 'i', 'would', 'make', 'dots', 'smallers', 'and', 'letter', 'of', 'provinces', 'larger']"
953,Personal advice,i would also use percentage of growth,"['i', 'would', 'also', 'use', 'percentage', 'of', 'growth']"
954,Asking questions,are you displaying the resident populations of the countries? what about emigration? what percentage of the native born population is no longer living in the country? and when did they leave?,"['are', 'you', 'displaying', 'the', 'resident', 'populations', 'of', 'the', 'countries', 'what', 'about', 'emigration', 'what', 'percentage', 'of', 'the', 'native', 'born', 'population', 'is', 'no', 'longer', 'living', 'in', 'the', 'country', 'and', 'when', 'did', 'they', 'leave']"
955,Negative Activating,i miss the legend for the animated graph (unless it s hidden somewhere i can t see it),"['i', 'miss', 'the', 'legend', 'for', 'the', 'animated', 'graph', 'unless', 'it', 's', 'hidden', 'somewhere', 'i', 'can', 't', 'see', 'it']"
956,"Complementing, expressing appreciation",fascinating story takura,"['fascinating', 'story', 'takura']"
958,"Complementing, expressing appreciation",thank you!,"['thank', 'you']"
959,Asking questions,then what does the average really tell you?,"['then', 'what', 'does', 'the', 'average', 'really', 'tell', 'you']"
960,"Complementing, expressing appreciation",the data is clearly represented and you take us through the explanations in a logical and engaging fashion ,"['the', 'data', 'is', 'clearly', 'represented', 'and', 'you', 'take', 'us', 'through', 'the', 'explanations', 'in', 'a', 'logical', 'and', 'engaging', 'fashion']"
961,Negative Activating,also distracted by the gray text box overlapping the data ,"['also', 'distracted', 'by', 'the', 'gray', 'text', 'box', 'overlapping', 'the', 'data']"
962,Asking questions,"what to you think about the colors blue pink for male and female, or too obvious?","['what', 'to', 'you', 'think', 'about', 'the', 'colors', 'blue', 'pink', 'for', 'male', 'and', 'female', 'or', 'too', 'obvious']"
963,Vocatives (addressing individual),"kathleen, thank you very much for your post","['kathleen', 'thank', 'you', 'very', 'much', 'for', 'your', 'post']"
966,Negative Activating,what to make of the sankey diagrams,"['what', 'to', 'make', 'of', 'the', 'sankey', 'diagrams']"
967,Negative Activating, i wonder if it s hard from me to compare everything because each illustration is not an apples to apples comparison ,"['i', 'wonder', 'if', 'it', 's', 'hard', 'from', 'me', 'to', 'compare', 'everything', 'because', 'each', 'illustration', 'is', 'not', 'an', 'apples', 'to', 'apples', 'comparison']"
968,Asking questions,"but if we were given a limited amount of space for the same visual, wouldn t the removal of the map do better good than the absence of bar graphs  other secondary aids?","['but', 'if', 'we', 'were', 'given', 'a', 'limited', 'amount', 'of', 'space', 'for', 'the', 'same', 'visual', 'wouldn', 't', 'the', 'removal', 'of', 'the', 'map', 'do', 'better', 'good', 'than', 'the', 'absence', 'of', 'bar', 'graphs', 'other', 'secondary', 'aids']"
969,Negative Activating,i wonder if that could be investigated!,"['i', 'wonder', 'if', 'that', 'could', 'be', 'investigated']"
972,Personal advice,"i think the interactive could be complemented with other graphics and variables to try to find a correlation such as education, poverty, number of guns by region   ","['i', 'think', 'the', 'interactive', 'could', 'be', 'complemented', 'with', 'other', 'graphics', 'and', 'variables', 'to', 'try', 'to', 'find', 'a', 'correlation', 'such', 'as', 'education', 'poverty', 'number', 'of', 'guns', 'by', 'region']"
973,Personal advice,still maybe you give the happy floating bubbles a try?,"['still', 'maybe', 'you', 'give', 'the', 'happy', 'floating', 'bubbles', 'a', 'try']"
974,"Complementing, expressing appreciation","hi, takura,amazing and usefull visualization!","['hi', 'takura', 'amazing', 'and', 'usefull', 'visualization']"
976,Vocatives (addressing individual),sound topic maayan!,"['sound', 'topic', 'maayan']"
980,Asking questions,"are we looking at actual numbers over time, or at percentages of the population?","['are', 'we', 'looking', 'at', 'actual', 'numbers', 'over', 'time', 'or', 'at', 'percentages', 'of', 'the', 'population']"
981,Vocatives (addressing individual),"hi reiner,great thoughts!","['hi', 'reiner', 'great', 'thoughts']"
983,"Complementing, expressing appreciation",this is such an impressive work ,"['this', 'is', 'such', 'an', 'impressive', 'work']"
984,Personal advice,i think you could get answers in emigration statistics and political situations in these countries ,"['i', 'think', 'you', 'could', 'get', 'answers', 'in', 'emigration', 'statistics', 'and', 'political', 'situations', 'in', 'these', 'countries']"
988,Asking questions,did you want to show the 4 bar as political party?,"['did', 'you', 'want', 'to', 'show', 'the', '4', 'bar', 'as', 'political', 'party']"
989,"Complementing, expressing appreciation",hi christopher!really interesting topic!,"['hi', 'christopher', 'really', 'interesting', 'topic']"
990,Vocatives (addressing individual),"joy, you are right on by saying there is a lot going on with this piece ","['joy', 'you', 'are', 'right', 'on', 'by', 'saying', 'there', 'is', 'a', 'lot', 'going', 'on', 'with', 'this', 'piece']"
991,Personal advice,perhaps it would serve the visualisation better to use a world map?,"['perhaps', 'it', 'would', 'serve', 'the', 'visualisation', 'better', 'to', 'use', 'a', 'world', 'map']"
992,"Complementing, expressing appreciation",hi!i like the story!,"['hi', 'i', 'like', 'the', 'story']"
994,Personal advice,"other things that come to mind are solo artist versus band member, geographic distribution, career trajectory to name a few please share the dataset you ve compiled","['other', 'things', 'that', 'come', 'to', 'mind', 'are', 'solo', 'artist', 'versus', 'band', 'member', 'geographic', 'distribution', 'career', 'trajectory', 'to', 'name', 'a', 'few', 'please', 'share', 'the', 'dataset', 'you', 've', 'compiled']"
996,Asking questions,does cutting corporate taxes really creates jobs?,"['does', 'cutting', 'corporate', 'taxes', 'really', 'creates', 'jobs']"
999,Personal advice,could the text at the top be larger and summarized?,"['could', 'the', 'text', 'at', 'the', 'top', 'be', 'larger', 'and', 'summarized']"
1000,Asking questions,"i wonder if this was moved into an interactive, online version if the tags could pop up when a user hovered over each country?","['i', 'wonder', 'if', 'this', 'was', 'moved', 'into', 'an', 'interactive', 'online', 'version', 'if', 'the', 'tags', 'could', 'pop', 'up', 'when', 'a', 'user', 'hovered', 'over', 'each', 'country']"
1001,Negative Activating,i agree the second is complicated and i was just unsure what to do about that,"['i', 'agree', 'the', 'second', 'is', 'complicated', 'and', 'i', 'was', 'just', 'unsure', 'what', 'to', 'do', 'about', 'that']"
1002,"Complementing, expressing appreciation",great presentation  good use of flourish ,"['great', 'presentation', 'good', 'use', 'of', 'flourish']"
1003,Personal advice,try choosing a visualization with a single pair of axes,"['try', 'choosing', 'a', 'visualization', 'with', 'a', 'single', 'pair', 'of', 'axes']"
1004,Personal advice,your charts could be clearer,"['your', 'charts', 'could', 'be', 'clearer']"
1006,"Complementing, expressing appreciation","hi julian,congratulations on your great choice of topic and beautiful visualization ","['hi', 'julian', 'congratulations', 'on', 'your', 'great', 'choice', 'of', 'topic', 'and', 'beautiful', 'visualization']"
1007,"Complementing, expressing appreciation",great work!,"['great', 'work']"
1010,"Complementing, expressing appreciation","great visualization, very informative ","['great', 'visualization', 'very', 'informative']"
1011,Vocatives (addressing individual),hi tamara,"['hi', 'tamara']"
1012,Asking questions,what is the relationship between countries and categories?,"['what', 'is', 'the', 'relationship', 'between', 'countries', 'and', 'categories']"
1013,Personal advice,"it would be interesting to plot the introduction spread of treatment on the chart, too, if that data were available ","['it', 'would', 'be', 'interesting', 'to', 'plot', 'the', 'introduction', 'spread', 'of', 'treatment', 'on', 'the', 'chart', 'too', 'if', 'that', 'data', 'were', 'available']"
1014,"Complementing, expressing appreciation","hi macarena,thanks a lot for all your indications ","['hi', 'macarena', 'thanks', 'a', 'lot', 'for', 'all', 'your', 'indications']"
1015,"Complementing, expressing appreciation",thanks again for sharing this data story!,"['thanks', 'again', 'for', 'sharing', 'this', 'data', 'story']"
1017,Personal advice,i would use a bar graph of the (perhaps annualized) growth rates at the county level,"['i', 'would', 'use', 'a', 'bar', 'graph', 'of', 'the', 'perhaps', 'annualized', 'growth', 'rates', 'at', 'the', 'county', 'level']"
1018,"Complementing, expressing appreciation",the data is well used and the use of other resources is educational,"['the', 'data', 'is', 'well', 'used', 'and', 'the', 'use', 'of', 'other', 'resources', 'is', 'educational']"
1019,Personal advice,"hi jim,i would suggest uploading your chart, that way the points you re making will be much more convincing  it will also demonstrate your skills ","['hi', 'jim', 'i', 'would', 'suggest', 'uploading', 'your', 'chart', 'that', 'way', 'the', 'points', 'you', 're', 'making', 'will', 'be', 'much', 'more', 'convincing', 'it', 'will', 'also', 'demonstrate', 'your', 'skills']"
1021,"Complementing, expressing appreciation","impressed with how you manage these tools so well and produce well designed, readable, clear information ","['impressed', 'with', 'how', 'you', 'manage', 'these', 'tools', 'so', 'well', 'and', 'produce', 'well', 'designed', 'readable', 'clear', 'information']"
1022,Vocatives (addressing individual),"hi chris,i went to the link that you included in your critique ","['hi', 'chris', 'i', 'went', 'to', 'the', 'link', 'that', 'you', 'included', 'in', 'your', 'critique']"
1023,"Complementing, expressing appreciation",hi julian!i was just happy to look at your chart!,"['hi', 'julian', 'i', 'was', 'just', 'happy', 'to', 'look', 'at', 'your', 'chart']"
1024,"Complementing, expressing appreciation",you ve selected a topic with fascinating public policy implications ,"['you', 've', 'selected', 'a', 'topic', 'with', 'fascinating', 'public', 'policy', 'implications']"
1026,Negative Activating,i don t understand what the each bar means ,"['i', 'don', 't', 'understand', 'what', 'the', 'each', 'bar', 'means']"
1028,"Complementing, expressing appreciation","hi mario,thats an interesting topic and a very popular one nowadays ","['hi', 'mario', 'thats', 'an', 'interesting', 'topic', 'and', 'a', 'very', 'popular', 'one', 'nowadays']"
1031,Negative Activating,here i was also wondering if you could add the slope ,"['here', 'i', 'was', 'also', 'wondering', 'if', 'you', 'could', 'add', 'the', 'slope']"
1032,Asking questions,might the increase in medical cards holders be due to the 2007 crisis?what about that huge cut in expenditures in 2009?what about the increase in gp card holders in 2014?,"['might', 'the', 'increase', 'in', 'medical', 'cards', 'holders', 'be', 'due', 'to', 'the', '2007', 'crisis', 'what', 'about', 'that', 'huge', 'cut', 'in', 'expenditures', 'in', '2009', 'what', 'about', 'the', 'increase', 'in', 'gp', 'card', 'holders', 'in', '2014']"
1033,Asking questions,just a question  what is the measure to calculate cheese production in 2015?,"['just', 'a', 'question', 'what', 'is', 'the', 'measure', 'to', 'calculate', 'cheese', 'production', 'in', '2015']"
1034,Personal advice,i would have like to see one more bar graph of comparison so i could make sure that i was understanding the world map ,"['i', 'would', 'have', 'like', 'to', 'see', 'one', 'more', 'bar', 'graph', 'of', 'comparison', 'so', 'i', 'could', 'make', 'sure', 'that', 'i', 'was', 'understanding', 'the', 'world', 'map']"
1035,Personal advice,the only thing i was wondering about is slide no  4 ,"['the', 'only', 'thing', 'i', 'was', 'wondering', 'about', 'is', 'slide', 'no', '4']"
1036,"Complementing, expressing appreciation","hi julian,thank you very much for your in depth analysis ","['hi', 'julian', 'thank', 'you', 'very', 'much', 'for', 'your', 'in', 'depth', 'analysis']"
1037,"Complementing, expressing appreciation",the landing page is very vivid and captures the tone of happiness very well,"['the', 'landing', 'page', 'is', 'very', 'vivid', 'and', 'captures', 'the', 'tone', 'of', 'happiness', 'very', 'well']"
1038,"Complementing, expressing appreciation","anyway, good exploration work!","['anyway', 'good', 'exploration', 'work']"
1039,Negative Activating,it s a bit difficult to understand at a first glance the rankings,"['it', 's', 'a', 'bit', 'difficult', 'to', 'understand', 'at', 'a', 'first', 'glance', 'the', 'rankings']"
1040,Personal advice,you have to do another bubble charts,"['you', 'have', 'to', 'do', 'another', 'bubble', 'charts']"
1041,Personal advice,"however, i think the map can be improved a bit ","['however', 'i', 'think', 'the', 'map', 'can', 'be', 'improved', 'a', 'bit']"
1043,"Complementing, expressing appreciation",congratulations ! that is a fantastic data vis !!,"['congratulations', 'that', 'is', 'a', 'fantastic', 'data', 'vis']"
1044,Negative Activating,"obviously, the spike at age 27 is unique and unnatural  but i d like to know  just how unique is it?","['obviously', 'the', 'spike', 'at', 'age', '27', 'is', 'unique', 'and', 'unnatural', 'but', 'i', 'd', 'like', 'to', 'know', 'just', 'how', 'unique', 'is', 'it']"
1045,Negative Activating,time ,['time']
1046,Personal advice,one criticism  i would work on the color scheme   confusing to have manhattan coded red and also hispanic students coded red ,"['one', 'criticism', 'i', 'would', 'work', 'on', 'the', 'color', 'scheme', 'confusing', 'to', 'have', 'manhattan', 'coded', 'red', 'and', 'also', 'hispanic', 'students', 'coded', 'red']"
1047,Personal advice,"it would be interesting to compare with audio streaming services data, i assume the results would be totally different ","['it', 'would', 'be', 'interesting', 'to', 'compare', 'with', 'audio', 'streaming', 'services', 'data', 'i', 'assume', 'the', 'results', 'would', 'be', 'totally', 'different']"
1050,"Complementing, expressing appreciation",it looks superb!,"['it', 'looks', 'superb']"
1052,"Complementing, expressing appreciation",your visualizations provide both a great overview and detailed information thank you for sharing this project ,"['your', 'visualizations', 'provide', 'both', 'a', 'great', 'overview', 'and', 'detailed', 'information', 'thank', 'you', 'for', 'sharing', 'this', 'project']"
1053,Negative Activating,i m confused without a title to each graph ,"['i', 'm', 'confused', 'without', 'a', 'title', 'to', 'each', 'graph']"
1054,Asking questions,"one more thing i would check when exploring the data  are the numbers prior to 1989 taking the whole of the soviet union and then, after its collapse maybe its taking into account much smaller teritory and it can contribute to the decline in numbers?","['one', 'more', 'thing', 'i', 'would', 'check', 'when', 'exploring', 'the', 'data', 'are', 'the', 'numbers', 'prior', 'to', '1989', 'taking', 'the', 'whole', 'of', 'the', 'soviet', 'union', 'and', 'then', 'after', 'its', 'collapse', 'maybe', 'its', 'taking', 'into', 'account', 'much', 'smaller', 'teritory', 'and', 'it', 'can', 'contribute', 'to', 'the', 'decline', 'in', 'numbers']"
1055,Negative Activating,"to be honest, i didn t expect this to be so frustrating at times  )","['to', 'be', 'honest', 'i', 'didn', 't', 'expect', 'this', 'to', 'be', 'so', 'frustrating', 'at', 'times']"
1057,Negative Activating,"i think the first and second page is so many color and no label for each bar, so i think it s hard to read ","['i', 'think', 'the', 'first', 'and', 'second', 'page', 'is', 'so', 'many', 'color', 'and', 'no', 'label', 'for', 'each', 'bar', 'so', 'i', 'think', 'it', 's', 'hard', 'to', 'read']"
1058,"Complementing, expressing appreciation",thank you very much for sharing this project ,"['thank', 'you', 'very', 'much', 'for', 'sharing', 'this', 'project']"
1061,Vocatives (addressing individual),"hi takura,wow ","['hi', 'takura', 'wow']"
1064,Negative Activating,"when i started reading your analysis, i was going to be shocked that a disease or a combination of diseases accounted for the population loss ","['when', 'i', 'started', 'reading', 'your', 'analysis', 'i', 'was', 'going', 'to', 'be', 'shocked', 'that', 'a', 'disease', 'or', 'a', 'combination', 'of', 'diseases', 'accounted', 'for', 'the', 'population', 'loss']"
1065,"Complementing, expressing appreciation",you seemed to fully understand the programs that can be used to enhance your visualizations of big data ,"['you', 'seemed', 'to', 'fully', 'understand', 'the', 'programs', 'that', 'can', 'be', 'used', 'to', 'enhance', 'your', 'visualizations', 'of', 'big', 'data']"
1067,Asking questions,"are those numbers tons, kg or number of cheeses?","['are', 'those', 'numbers', 'tons', 'kg', 'or', 'number', 'of', 'cheeses']"
1070,Personal advice,my only feedback is on the doughnut chart ,"['my', 'only', 'feedback', 'is', 'on', 'the', 'doughnut', 'chart']"
1071,Negative Activating,i was unable to get to the page for your powerpoint slides,"['i', 'was', 'unable', 'to', 'get', 'to', 'the', 'page', 'for', 'your', 'powerpoint', 'slides']"
